%
% Platform OB27M
% Location 33 59.646 deg N  77 21.144 deg W
% Quality  0 = not evaluated, 1 = bad, 2 = suspect, 3 = good, -9 = missing
%
% sea_water_temperature (deg C)
% depth (m)
%
timestamp_utc,depth,sea_water_temperature,sea_water_temperature_quality
2006-05-19 07:30:01,15,20.7889,0
2006-05-19 07:45:01,15,20.7882,0
2006-05-19 08:00:01,15,20.7781,0
2006-05-19 08:15:01,15,20.7623,0
2006-05-19 08:30:01,15,20.7621,0
2006-05-19 08:45:01,15,20.7569,0
2006-05-19 09:00:01,15,20.7614,0
2006-05-19 09:15:01,15,20.7592,0
2006-05-19 09:30:01,15,20.7592,0
2006-05-19 09:45:01,15,20.7543,0
2006-05-19 10:00:01,15,20.7396,0
2006-05-19 10:15:01,15,20.7419,0
2006-05-19 10:30:01,15,20.7283,0
2006-05-19 10:45:01,15,20.7442,0
2006-05-19 11:00:01,15,20.7357,0
2006-05-19 11:15:01,15,20.7235,0
2006-05-19 11:30:01,15,20.725,0
2006-05-19 11:45:01,15,20.7186,0
2006-05-19 12:00:01,15,20.7128,0
2006-05-19 12:15:01,15,20.7158,0
2006-05-19 12:30:01,15,20.7089,0
2006-05-19 12:45:01,15,20.7135,0
2006-05-19 13:00:01,15,20.7209,0
2006-05-19 13:15:01,15,20.7204,0
2006-05-19 13:30:01,15,20.7298,0
2006-05-19 13:45:01,15,20.7307,0
2006-05-19 14:00:01,15,20.7351,0
2006-05-19 14:15:01,15,20.7426,0
2006-05-19 14:30:01,15,20.7556,0
2006-05-19 14:45:01,15,20.7574,0
2006-05-19 15:00:01,15,20.7809,0
2006-05-19 15:15:01,15,20.7764,0
2006-05-19 15:30:01,15,20.7754,0
2006-05-19 15:45:01,15,20.7984,0
2006-05-19 16:00:01,15,20.8068,0
2006-05-19 16:15:01,15,20.8059,0
2006-05-19 16:30:01,15,20.8091,0
2006-05-19 16:45:01,15,20.8151,0
2006-05-19 17:00:01,15,20.8236,0
2006-05-19 17:15:01,15,20.8253,0
2006-05-19 17:30:01,15,20.8245,0
2006-05-19 17:45:01,15,20.8161,0
2006-05-19 18:00:01,15,20.8199,0
2006-05-19 18:15:01,15,20.8164,0
2006-05-19 18:30:01,15,20.8138,0
2006-05-19 18:45:01,15,20.8117,0
2006-05-19 19:00:01,15,20.8148,0
2006-05-19 19:15:01,15,20.8188,0
2006-05-19 19:30:01,15,20.8195,0
2006-05-19 19:45:01,15,20.8115,0
2006-05-19 20:00:01,15,20.8282,0
2006-05-19 20:15:01,15,20.8185,0
2006-05-19 20:30:01,15,20.8132,0
2006-05-19 20:45:01,15,20.8125,0
2006-05-19 21:00:01,15,20.8529,0
2006-05-19 21:15:01,15,20.8129,0
2006-05-19 21:30:01,15,20.8567,0
2006-05-19 21:45:01,15,20.854,0
2006-05-19 22:00:01,15,20.8306,0
2006-05-19 22:15:01,15,20.8543,0
2006-05-19 22:30:01,15,20.8564,0
2006-05-19 22:45:01,15,20.8412,0
2006-05-19 23:00:01,15,20.851,0
2006-05-19 23:15:01,15,20.8447,0
2006-05-19 23:30:01,15,20.8416,0
2006-05-19 23:45:01,15,20.8383,0
2006-05-20 00:00:01,15,20.8364,0
2006-05-20 00:15:01,15,20.8362,0
2006-05-20 00:30:01,15,20.8395,0
2006-05-20 00:45:01,15,20.8445,0
2006-05-20 01:00:01,15,20.853,0
2006-05-20 01:15:01,15,20.8607,0
2006-05-20 01:30:01,15,20.8535,0
2006-05-20 01:45:01,15,20.818,0
2006-05-20 02:00:01,15,20.8133,0
2006-05-20 02:15:01,15,20.808,0
2006-05-20 02:30:01,15,20.8042,0
2006-05-20 02:45:01,15,20.7908,0
2006-05-20 03:00:01,15,20.7827,0
2006-05-20 03:15:02,15,20.782,0
2006-05-20 03:30:02,15,20.7844,0
2006-05-20 03:45:02,15,20.7746,0
2006-05-20 04:00:02,15,20.7672,0
2006-05-20 04:15:02,15,20.725,0
2006-05-20 04:30:02,15,20.7019,0
2006-05-20 04:45:02,15,20.6995,0
2006-05-20 05:00:02,15,20.6868,0
2006-05-20 05:15:02,15,20.6837,0
2006-05-20 05:30:02,15,20.6747,0
2006-05-20 05:45:02,15,20.6633,0
2006-05-20 06:00:02,15,20.6512,0
2006-05-20 06:15:02,15,20.6383,0
2006-05-20 06:30:02,15,20.6352,0
2006-05-20 06:45:01,15,20.6239,0
2006-05-20 07:00:01,15,20.6117,0
2006-05-20 07:15:01,15,20.5924,0
2006-05-20 07:30:01,15,20.6029,0
2006-05-20 07:45:01,15,20.6006,0
2006-05-20 08:00:01,15,20.5957,0
2006-05-20 08:15:01,15,20.5974,0
2006-05-20 08:30:01,15,20.5947,0
2006-05-20 08:45:01,15,20.5831,0
2006-05-20 09:00:01,15,20.5897,0
2006-05-20 09:15:01,15,20.5865,0
2006-05-20 09:30:01,15,20.5789,0
2006-05-20 09:45:01,15,20.5771,0
2006-05-20 10:00:01,15,20.5702,0
2006-05-20 10:15:01,15,20.5713,0
2006-05-20 10:30:01,15,20.5765,0
2006-05-20 10:45:01,15,20.5753,0
2006-05-20 11:00:01,15,20.5757,0
2006-05-20 11:15:01,15,20.5657,0
2006-05-20 11:30:01,15,20.572,0
2006-05-20 11:45:01,15,20.5852,0
2006-05-20 12:00:01,15,20.5585,0
2006-05-20 12:15:01,15,20.5499,0
2006-05-20 12:30:01,15,20.5908,0
2006-05-20 12:45:01,15,20.5762,0
2006-05-20 13:00:01,15,20.5633,0
2006-05-20 13:15:01,15,20.5779,0
2006-05-20 13:30:01,15,20.5835,0
2006-05-20 13:45:01,15,20.6016,0
2006-05-20 14:00:01,15,20.5789,0
